,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
1199,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
1900 ft²
","
3
","








4

","
3 Bedroom Apartment For Sale in Kileleshwa
",Trisums Investments Company Ltd,"
KSh 19,000,000
"
1200,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
Kilimani:3 bedroom apartment for sale/rent
",Royal Properties Market Limited,"
KSh 27,000,000
"
1201,"
3 bedroom apartment for sale in Mombasa Road
","

Chady Road, Mombasa Road, Mombasa Road

","
124 m²
","
3
",-,"
3 Bedroom Apartment for sale in Mombasa Road
",VAAL Real Estate,"
KSh 8,500,000
"
1202,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
Executive 4 bedroom Townhouse with Dsq
",Wilnas Property Ltd,"
KSh 45,000,000
"
1203,"
4 bedroom townhouse for sale in Karen
","

900, Karen, Langata

","
2100 m²
","
4
","








5

","
4 bedroom townhouses all en suite with servants...
",Kenya Classic Homes,"
KSh 57,000,000
"
1204,"
1 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
80 m²
","
1
","








1

","
ONE (1) BEDROOM EXECUTIVE APARTMENT FOR SALE...
",Splendor Holdings,"
KSh 7,000,000
"
1205,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
5
","








5

","
4 bedroom townhouse for sale in karen
",Dakima Home International,"
KSh 65,000,000
"
1206,"
1 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

",-,"
1
","








1

","
Studio For Sale in Kileleshwa
",Apogee Realty Homes,"
KSh 4,200,000
"
1207,"
5 bedroom villa for sale in Lavington
","

Isaac Gathanju Road, Lavington, Dagoretti North

","
360 m²
","
5
","








6

","
This is a lovely house, 5 bedrooms all ensuite...
",Leissure Homes Kenya,"
KSh 70,000,000
"
1208,"
3 bedroom apartment for sale in Ngong Road
","

Ngong rd, Ngong Road, Ngong Road

","
120 m²
","
3
","








2

","
3 Bedroom apartment for sale in Ngong road
",Abode Realty,"
KSh 9,800,000
"
1209,"
2 bedroom apartment for sale in Thika Road
","

Near USIU, Thika Road, Thika Road

",-,"
2
","








2

","
2 BEDROOM APARTMENT FOR SALE
",Royani Properties Limited,"
KSh 7,100,000
"
1210,"
5 bedroom townhouse for sale in Kileleshwa
","

Kaputei Gardens , Kileleshwa, Dagoretti North

","
450 m²
","
5
","








6

","
5 Bedroom Townhouse for Sale in Kileleshwa Nair...
",Sky Limits Ventures,"
KSh 60,000,000
"
1211,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
150 m²
","
3
","








2

","
3 BEDROOM EXECUTIVE APARTMENT FOR SALE (TWO ENS...
",Splendor Holdings,"
KSh 13,800,000
"
1212,"
2 bedroom apartment for sale in Ngong Road
","

Ngong Rd, Ngong Road, Ngong Road

",-,"
2
","








1

","
1,2 and Studio Apartments For Sale
",Zenith Homes Management Ltd,"
KSh 8,000,000
"
1213,"
4 bedroom townhouse for sale in New Kitusuru
","

New Kitusuru, Westlands

",-,"
4
","








4

","
4 bedroom all en suite, New Kitisuru House
",Jusa Homes Limited,"
KSh 75,000,000
"
1214,"
2 bedroom apartment for sale in Lavington
","

 kingara Road, Lavington, Dagoretti North

",-,"
2
","








2

","
Riverpoint 2,3,4Br Apartment For Sale in Laving...
",Crystal Valuers LTD,"
KSh 14,300,000
"
1215,"
5 bedroom house for sale in Runda
","

Nairobi, Runda, Westlands

",-,"
5
","








5

","
Double Storey House Sitting On 1 Acre Of Land F...
",Coral Property International Ltd,"
KSh 125,000,000
"
1216,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
4
","








5

","
Serene 4 bedroom townhouse for sale in Kiambu R...
",Ge-Mac Property Solutions,"
KSh 34,000,000
"
1217,"
4 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
4
",-,"
4 bedroom apartment for sale in Rhapta Road
",Dunhill Consulting Limited,"
KSh 29,500,000
"
1218,"
2 bedroom apartment for sale in Waiyaki Way
","

Westlands, Waiyaki Way, Westlands

",-,"
2
","








2

","
2 Bedrooms Luxury Apartment For Sale in Westlan...
",Simkar Group Limited,"
KSh 15,000,000
"
1219,"
3 bedroom apartment for sale in Kileleshwa
","

Gatundu Close, Kileleshwa, Dagoretti North

","
165 m²
","
3
","








3

","
 ELEGANT 3 BEDROOM (ALL ENSUITE + DSQ) APARTMENT...
",Antel Ltd,"
KSh 22,000,000
"
1220,"
3 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








3

","
Lavish 5 bedroom Townhouse all Ensuite with Dsq...
",Wilnas Property Ltd,"
KSh 65,000,000
"
1221,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








5

","
House for Sale in Karen- Hardy
",Tysons Limited,"
KSh 110,000,000
"
1222,"
Commercial property for sale in Ngara
","

Ngara, Starehe

",-,"
1
 ","








1

","
FURNISHED STUDIO APARTMENTS FOR SALE IN NGARA A...
",Mahalo Properties Limited,"
KSh 260,000,000
"
1223,"
Land for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,-,-,"
Land for sale in Lower Kabete
",Cura International,"
KSh 60,000,000
"
1224,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
2 BEDROOM APARTMENT IN KILIMANI OFF DENNIS PRIT...
",Vuli Homes Ltd,"
KSh 13,000,000
"
1225,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
105 m²
","
2
","








2

","
EXQUISITE 2BR APARTMENTS
",Balis Properties,"
KSh 8,500,000
"
1226,"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
2
","








3

","
New 2 Bedroom Apartment For Sale
",Origin Homes,"
KSh 23,000,000
"
1227,"
2023 m² residential land for sale in Lavington
","

Njumbi Rd, Lavington, Dagoretti North

","
2023 m²
",-,-,"
Prime 0.5 acres for sale in lavington nairobi
",Sky Limits Ventures,"
KSh 95,000,000
"
1228,"
Residential land for sale in Kagundo Road
","

Kagundo Road, Kasarani

",-,-,-,"
Radiant Gardens Kangundo Road
",Amali Properties,"
KSh 649,000
"
1229,"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
2
","








2

","
Modern And High-End 2 Bed Apartment For Sale Of...
",Coral Property International Ltd,"
KSh 28,000,000
"
1230,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








5

","
Modern 3 Bedroom Apartment For Sale
",Origin Homes,"
KSh 23,500,000
"
1231,"
4 bedroom townhouse for sale in Loresho
","

Loresho, Westlands

","
230 m²
","
4
","








4

","
Spectacular 4 Bedroom Townhouse for sale in Lor...
",Homeowners Eye,"
KSh 40,000,000
"
1232,"
Studio apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
0
","








1

","
Studio apartment for Sale in Kilimani Nairobi
",Sky Limits Ventures,"
KSh 4,500,000
"
1233,"
Furnished 3 bedroom apartment for sale in Brookside
","

Brookside, Westlands

","
2000 ft²
","
3
","








3

","
3 bedroom apartment all en suite for sale in We...
",Crystal Valuers LTD,"
KSh 27,000,000
"
1234,"
4 bedroom house for sale in Githurai
","

Githurai 45, Near Githurai Kimbo police station, Githurai, Roysambu

",-,"
4
","








2

","
4 Bedroom House For Sale- Kshs 10,000,000.00.
",HomePlus Realtors Ltd,"
KSh 10,000,000
"
1235,"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
2
","








 2

","
Westlands apartment for sale
",Knight Frank Kenya,"
KSh 28,000,000
"
1236,"
4 bedroom house for sale in Rosslyn
","

Rosslyn Springs, Rosslyn, Westlands

","
496 m²
","
4
","








5

","
4 Bedroom Townhouses For Sale In Rosslyn Spring...
",Coral Property International Ltd,"
KSh 66,300,000
"
1237,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
86 m²
","
2
","








2

","
LOVELY 2BR APARTMENT- NEAR YAYA CENTRE
",Balis Properties,"
KSh 9,000,000
"
1238,"
Studio apartment for sale in Mombasa Road
","

Muthama Access Road, Mombasa Road, Mombasa Road

",-,"
0
",-,"
Studio Apartment For Sale In Syokimau At Kes 2....
",Jayhenrys Holdings Limited,"
KSh 2,200,000
"
1239,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
3 BR+ DSQ , Luxury Apartments, (Ready for Occu...
",Upper Deck Homes,"
KSh 15,000,000
"
1240,"
2 bedroom apartment for sale in Kileleshwa
","

Gatundu Road, Kileleshwa, Dagoretti North

","
160 m²
","
2
","








3

","
New Luxury Apartment 2 Bedrooms + Sq Ksh. 14M F...
",Sir Francis Marketing & Consultants Ltd,"
KSh 14,000,000
"
1241,"
1.25 ac residential land for sale in Karen
","

Bogani Road, Karen, Langata

","
1 ac
",-,-,"
1.25 Acres Prime Plot For Sale in Karen - Bogan...
",Simkar Group Limited,"
 KSh 67,000,000
"
1242,"
3 bedroom apartment for sale in South C
","

South C, Langata

",-,"
3
",-,"
3 bedroom apartment for sale in South C
",Dunhill Consulting Limited,"
KSh 18,000,000
"
1243,"
4047 m² land for sale in Lavington
","

Lavington, Dagoretti North

","
4047 m²
",-,-,"
1 acre for sale in lavington very prime
",Kenya Classic Homes,"
KSh 180,000,000
"
1244,"
0.25 ac land for sale in Karen
","

North 14th Drive Kerarapon, Karen, Langata

",-,-,-,"
Land For Sale in Kerarapon
",LIKO Limited,"
KSh 13,500,000
"
1245,"
4 bedroom townhouse for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
400 m²
","
4
","








5

","
Modern 4 Bedroom Townhouse For Sale
",Origin Homes,"
KSh 55,000,000
"
1246,"
4047 m² residential land for sale in Muthaiga Area
","

Muthaiga Area, Muthaiga

","
4047 m²
",-,-,"
1 acre off Thigiri Ridge
",GerryVille Homes,"
KSh 120,000,000
"
1247,"
1 bedroom apartment for sale in Runda
","

Runda, Westlands

",-,"
1
","








1

","
1 Bed Apartment Riverbank
",Centum Real Estate,"
KSh 14,000,000
"
1248,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








3

","
4 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON, NAIR...
",Knight Frank Kenya,"
KSh 52,000,000
"
1249,"
0.99 ac land for sale in Parklands
","

Nairobi, Kenya, Parklands, Westlands

",-,-,-,"
0.99 Acre Of Land In Parklands
",Eden Heights Realty,"
KSh 320,000,000
"
1250,"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia road, Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Contemporary and spacious 3 bedroom apartment l...
",Aldrich Property Consultants,"
KSh 26,000,000
"
1251,"
5 bedroom villa for sale in Runda
","

Runda, Westlands
 
",-,"
5
","








5

","
Runda Lavish Villas for Sale
",The Address Consult,"
KSh 60,000,000
"
1252,"
1200 ft² office for sale in Kilimani
","

Kamirembe Place, Kilimani, Dagoretti North

","
1200 ft²
",-,-,"
Office for Sale in Kamirembe Place, Kilimani
",Crystal Valuers LTD,"
KSh 15,000,000
"
1253,"
Furnished 3 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
3
","








4

","
Spacious
",Halifax Estate Agency,"
KSh 28,000,000
"
1254,"
4 bedroom house for sale in Rosslyn
","

Rosslyn, Westlands

",-,"
4
","








6

","
Rosslyn Springs Elegant 4 Bedroom Townhouse fo...
",Royal Properties Market Limited,"
KSh 68,000,000
"
1255,"
1 bedroom apartment for sale in Kileleshwa
","

Oloitoktok Road, Kileleshwa, Dagoretti North

","
4020 m²
","
1
","








1

","
NEW PROPERTY ALERT ON OLOITOKTOK ROAD KILELESHW...
",Sir Francis Marketing & Consultants Ltd,"
KSh 3,500,000
"
1256,"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
COMFORT 2 Bed Apartments, KILIMANI.
",Citiscape Valuers & Estate Agents Ltd,"
KSh 4,700,000
"
1257,"
5 bedroom townhouse for sale in Kyuna
","

Kyuna, Westlands

",-,"
5
",-,"
KYUNA CASILDA VILLAS
",Halifax Estate Agency,"
KSh 95,000,000
"
1258,"
1 bedroom apartment for sale in Lavington
","

Olendume Rd, Lavington, Dagoretti North

","
40 m²
","
1
","








1

","
Studio Apartments for sale in Lavington from 3...
",Prima Properties Ke,"
KSh 3,900,000
"
1259,"
3 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road, Kiambu Road

","
300 m²
","
3
","








2

","
3 bedroom maisonette for sale
",Miles Realty Consult Ltd,"
KSh 20,295,000
"
1260,"
4 bedroom townhouse for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
","








2

","
4 Bedroom Town house For Sale in Kileleshwa
",Trisums Investments Company Ltd,"
KSh 35,000,000
"
1261,"
1.3 ac commercial land for sale in Industrial Area
","

Falcon rd, Industrial Area, Embakasi

","
1 ac
",-,-,"
Industrial Area Plot For Sale
",Highend Consulting,"
KSh 120,000,000
"
1262,"
4 bedroom townhouse for sale in Westlands Area
","

westlands, Westlands Area, Westlands

",-,"
4
","








3

","
Exclusive four bedroom house
",Rayalink Properties,"
KSh 57,000,000
"
1263,"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

","
4040 m²
","
2
","








2

","
New 2 Bedrooms For sale in Kilimani from Ksh. 7...
",Sir Francis Marketing & Consultants Ltd,"
KSh 7,500,000
"
1264,"
Land for sale in Karen
","

karen, Karen, Langata

",-,-,-,"
1 acre piece of land in Karen
",Azizi Realtors,"
KSh 30,000,000
"
1265,"
3238 m² land for sale in Lavington
","

Lavington, Dagoretti North

","
3238 m²
",-,-,"
MUHOYA AVENUE PLOT FOR SALE
",Halifax Estate Agency,"
KSh 160,000,000
"
1266,"
376 m² commercial property for sale in Mombasa Road
","

Mombasa road, Mombasa Road, Mombasa Road

","
376 m²
",-,-,"
1 acre land for lease along main Mombasa road
",Simton Properties,"
KSh 1,200,000
"
1267,"
Studio apartment for sale in Ngara
","

Musindi road, Ngara, Starehe

","
33 m²
","
0
","








1

","
Studio Apartments for Sale in Ngara
",Signature Africa,"
KSh 3,350,000
"
1268,"
3 bedroom townhouse for sale in Ridgeways
","

Ridgeways, Ridgeways

",-,"
3
","








3

","
3 bdrm townhouse for sale
",Lighthouse Homes Limited,"
KSh 18,500,000
"
1269,"
0.5 ac land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
land for own-house development
",Kenya Classic Homes,"
KSh 100,000,000
"
1270,"
4 bedroom house for sale in Kiambu Road
","

Mushroom Gardens, Kiambu Road, Kiambu Road

",-,"
4
",-,"
Kiambu, Mushroom Gardens Estate, Homes
",FAPCL Group,"
KSh 185,000,000
"
1271,"
2 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

","
125 m²
","
2
","








2

","
2BR APARTMENTS FOR SALE AT IMARA DAIMA
",PMC Estates Limited,"
KSh 7,500,000
"
1272,"
Furnished 5 bedroom villa for sale in Karen
","

Karen, Langata

","
4499 m²
","
5
","








6

","
spacious 5 bedrooms villa for sale in Karen
",Kenya Classic Homes,"
KSh 70,000,000
"
1273,"
3 bedroom apartment for sale in Thika Road
","

Morning Side Park Apartments, Thika Road, Thika Road

","
1448 m²
","
3
","








2

","
MORNING SIDE PARK - 3 bedroom apartments plus s...
",Crystal Valuers LTD,"
KSh 14,500,000
"
1274,"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








3

","
Newly built 3 brdroom apartment for sale .
",Wilnas Property Ltd,"
KSh 16,500,000
"
1275,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








2

","
ALINA RIDGE APARTMENTS FOR SALE
",Golden Oak Properties & Developers,"
KSh 6,990,000
"
1276,"
5 bedroom villa for sale in Kyuna
","

Kyuna, Westlands

",-,"
5
","








6

","
Executive
",Halifax Estate Agency,"
KSh 90,000,000
"
1277,"
5 bedroom house for sale in Lavington
","

Amboseli Road, Lavington, Dagoretti North

",-,"
5
","








6

","
5 Bedroom Townhouse For Sale In Lavington
",Coral Property International Ltd,"
KSh 60,000,000
"
1278,"
2023 m² residential land for sale in Kiambu Road
","

Muthithi Garden Estate, Kiambu Road, Kiambu Road

","
2023 m²
",-,-,"
💥Prime Half Acre land Within the Posh Muthithi...
",Sir Francis Marketing & Consultants Ltd,"
KSh 35,000,000
"
1279,"
5 bedroom townhouse for sale in Westlands Area
","

East Church Road, Westlands Area, Westlands

",-,"
5
","








4

","
5 Bedrooms Maisonette For Sale in Westlands - E...
",Simkar Group Limited,"
KSh 48,000,000
"
1280,"
3 bedroom apartment for sale in Lavington
 ","

Valley Arcade, Lavington, Dagoretti North

","
125 m²
","
 3
","








3

","
New 3 Bedrooms For Sale in Lavington from Ksh....
",Sir Francis Marketing & Consultants Ltd,"
KSh 11,500,000
"
1281,"
5 bedroom townhouse for sale in Ridgeways
","

Ridgeways, Ridgeways

","
400 m²
","
5
","








6

","
5 Bedrooms double story on 1/2 acre for sale
",Kenya Classic Homes,"
KSh 75,000,000
"
1282,"
3 bedroom apartment for sale in Waiyaki Way
","

Waiyaki Way, Westlands

",-,"
3
","








 3

","
3 BEDROOM APARTMENT FOR SALE IN WESTLANDS
",Trisums Investments Company Ltd,"
KSh 17,000,000
"
1283,"
2 ac land for sale in Karen
","

Karen, Langata

","
2 ac
",-,-,"
2 acres for sale in Karen
",Newpoint Properties,"
KSh 80,000,000
"
1284,"
3 bedroom house for sale in South B
","

South B, Langata

","
129 m²
","
3
","








2

","
South B Maisonette
",Tysons Limited,"
KSh 13,000,000
"
1285,"
4 bedroom villa for sale in Nyari
","

Ibis Close, Nyari, Westlands

",-,"
4
","








4

","
4 Bedroom House For Sale On Ibis Close, Nyari
",Coral Property International Ltd,"
KSh 96,000,000
"
1286,"
4 bedroom apartment for sale in Lavington
","

Valley Arcade, Lavington, Dagoretti North

","
232 m²
","
4
","








6

","
4 Bedrooms + Sq 232 Sqm Ksh. 20M Apartment FOR...
",Sir Francis Marketing & Consultants Ltd,"
KSh 20,000,000
"
1287,"
4 bedroom house for sale in Ridgeways
","

Ridgeways, Ridgeways

","
4088 m²
","
4
","








4

","
Height of Style – Garden Estate, Ridgeways
",Realty Plus,"
KSh 47,000,000
"
1288,"
148 m² office for sale in Kilimani
","

Yaya Centre, Kilimani, Dagoretti North

","
148 m²
",-,-,"
🔥New Commercial Office Space Apartment FOR SALE...
",Sir Francis Marketing & Consultants Ltd,"
KSh 14,000,000
"
1289,"
6 bedroom townhouse for sale in Lavington
","

Lavington Near Jaffery's Club, Lavington, Dagoretti North

",-,"
6
","








6

","
6 bedroom townhouse,all ensuite Lavington near...
",Jusa Homes Limited,"
KSh 80,000,000
"
1290,"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, General Mathenge, Westlands

",-,"
2
","








2

","
2 Bedroomed Apartment For Sale in Westlands
",Azizi Realtors,"
KSh 22,000,000
"
1291,"
3 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
3
","








3

","
Spacious 3 Bedroom Apartment in Imara Daima
",Citiscape Valuers & Estate Agents Ltd,"
KSh 9,000,000
"
1292,"
18212 m² land for sale in Karen
","

Bogani, Bogani, Karen, Langata

","
18212 m²
",-,-,"
Prime 0.5 acres for sale
",Keensell Ventures LTD,"
KSh 35,000,000
"
1293,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
Spacious and lovely 2 bedroom apartment for sal...
",Wilnas Property Ltd,"
KSh 8,500,000
"
1294,"
5 ac residential land for sale in Karen
","

Karen, Karen, Langata

","
5 ac
",-,-,"
5 acres vacant land for sale in Karen (Kenya) 3...
",Pam Golding Properties,"
KSh 295,000,000
"
1295,"
Studio apartment for sale in Valley Arcade
","

Valley Arcade, Valley Arcade, Dagoretti North

",-,"
0
","








1

","
Studio For Sale in Lavington, Valley Arcade
",Sky Limits Ventures,"
KSh 4,500,000
"
1296,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

","
2500 ft²
","
3
","








3

","
3bedroom apartment near Aga khan Hospital
",SXERP REAL ESTATE,"
KSh 25,000,000
"
